"Country","Year","Fuel","Value","Gen","Total"
"BE",2009,"Wind.Off",31.5,82,87919.9888351321
"BE",2010,"Wind.Off",196.5,190,93776.5036751023
"BE",2011,"Wind.Off",196.5,709,91897.9161890584
"BE",2012,"Wind.Off",381,854,91678.460197246
"BE",2013,"Wind.Off",707.7,1540,91813.7586155564
"BE",2014,"Wind.Off",707.7,2216.2,88975.6063918869
"BE",2015,"Wind.Off",712,2613.2,89608.4277446967
"BE",2016,"Wind.Off",712.2,2390.1,90673.6375418682
"BE",2017,"Wind.Off",877.2,2870.4,91513.1365835504
"BE",2018,"Wind.Off",1185.9,3411.1,91352.0051358392
"BE",2019,"Wind.Off",1555.5,4794.1,90911.9886769632
"BE",2020,"Wind.Off",2261.8,6973.7,88074.797366952
"BE",2021,"Wind.Off",2261.8,6926.2,91657.1520375884
"BE",2022,"Wind.Off",2261.8,6651.8,86291.1553405285
"BE",2023,"Wind.Off",2261.8,,86291.1553405285
"CN",2007,"Wind.Off",1.5,2.04,3271474.93673242
"CN",2008,"Wind.Off",1.5,2.04,3454382.92170636
"CN",2009,"Wind.Off",1.5,2.12,3703680.93045218
"CN",2010,"Wind.Off",100,165.68,4183689.91831038
"CN",2011,"Wind.Off",210,324.79,4692115.92184593
"CN",2012,"Wind.Off",291,487.03,4973952.93412728
"CN",2013,"Wind.Off",417,753.67,5425335.9314291
"CN",2014,"Wind.Off",440,728.55,5792689.92989393
"CN",2015,"Wind.Off",559,793.5,5825990.92435802
"CN",2016,"Wind.Off",1480,2416.83,6156315.92263677
"CN",2017,"Wind.Off",2788,5177.41,6668988.32731075
"CN",2018,"Wind.Off",4588,9112.08,7094651.261262
"CN",2019,"Wind.Off",5930,11512.11,7455721.16021362
"CN",2020,"Wind.Off",8990,14895.63,7714952.45881801
"CN",2021,"Wind.Off",26390,52710.91,8545739.86684443
"CN",2022,"Wind.Off",30460,63572.25,8872191.256
"CN",2023,"Wind.Off",37290,,8872191.256
"DK",2000,"Wind.Off",49.95,88.73,36718.003954224
"DK",2001,"Wind.Off",49.95,87.91,37153.9965109788
"DK",2002,"Wind.Off",213.95,355.82,37215.9867882397
"DK",2003,"Wind.Off",423.35,749.29,37640.9474320804
"DK",2004,"Wind.Off",423.35,895.3,37557.9831131373
"DK",2005,"Wind.Off",423.35,892.58,37615.0081875698
"DK",2006,"Wind.Off",423.35,824.14,38675.9585969483
"DK",2007,"Wind.Off",423.35,971,38365.9941849646
"DK",2008,"Wind.Off",423.35,926.48,38071.0090714551
"DK",2009,"Wind.Off",660.85,1275.78,36718.0016747302
"DK",2010,"Wind.Off",867.85,2692.07,37727.0254871604
"DK",2011,"Wind.Off",871.45,3404.61,36549.0773736509
"DK",2012,"Wind.Off",921.85,3471.75,35914.7336803126
"DK",2013,"Wind.Off",1271.05,4351.09,35824.0939545962
"DK",2014,"Wind.Off",1271.05,5165.43,35039.0292125047
"DK",2015,"Wind.Off",1271.05,4832.69,34852.2295065128
"DK",2016,"Wind.Off",1271.05,4650.03,35595.5294183104
"DK",2017,"Wind.Off",1263.8,5179.77,35585.2939054708
"DK",2018,"Wind.Off",1700.8,4630.14,35594.1361391887
"DK",2019,"Wind.Off",1700.8,6197.57,35327.8487242278
"DK",2020,"Wind.Off",1700.9,6603.09,35611.2720442873
"DK",2021,"Wind.Off",2305.7,7592.84,37917.6493007071
"DK",2022,"Wind.Off",2305.7,8752.8,36342.1020372162
"DK",2023,"Wind.Off",2649.7,,36342.1020372162
"DE",2009,"Wind.Off",35,38,578545.924776703
"DE",2010,"Wind.Off",80,176,611764.90951805
"DE",2011,"Wind.Off",188,577,603517.977437663
"DE",2012,"Wind.Off",268,732,601677.874720878
"DE",2013,"Wind.Off",508,918,600723.804754373
"DE",2014,"Wind.Off",994,1471,588063.794612951
"DE",2015,"Wind.Off",3283,8284,594105.706782657
"DE",2016,"Wind.Off",4132,12274,594335.692966133
"DE",2017,"Wind.Off",5406,17675,595258.680824339
"DE",2018,"Wind.Off",6393,19467,585562.703712319
