"Country","Year","Fuel","Value","Gen","Total"
"AT",2000,"Solar.PV",5,3.23,58505.9908355043
"AT",2001,"Solar.PV",7,5.34,61282.0016282099
"AT",2002,"Solar.PV",9,9.03,61405.0033029401
"AT",2003,"Solar.PV",23,14.69,63711.0340063268
"AT",2004,"Solar.PV",27,18.43,65029.0185615929
"AT",2005,"Solar.PV",21.02,21.02,67113.3322664682
"AT",2006,"Solar.PV",22.39,22.39,68646.7247603275
"AT",2007,"Solar.PV",24.24,24.24,68955.7342899144
"AT",2008,"Solar.PV",30.12,30.12,69376.7629795311
"AT",2009,"Solar.PV",48.92,48.92,67095.0231745441
"AT",2010,"Solar.PV",88.81,88.81,70369.6682117603
"AT",2011,"Solar.PV",174.07,174.07,70469.5030294008
"AT",2012,"Solar.PV",337.48,337.48,71512.2421131373
"AT",2013,"Solar.PV",625.97,625.97,71865.6059996278
"AT",2014,"Solar.PV",785.25,785.25,70887.2563546706
"AT",2015,"Solar.PV",937.1,937.1,71926.3298983997
"AT",2016,"Solar.PV",1096.02,1096.02,72430.3475236323
"AT",2017,"Solar.PV",1268.97,1268.97,73988.8020614068
"AT",2018,"Solar.PV",1455.13,1455.13,73983.5118809081
"AT",2019,"Solar.PV",1702.09,1702.09,73984.8558328991
"AT",2020,"Solar.PV",2042.93,2042.93,71406.1949676219
"AT",2021,"Solar.PV",2782.6,2782.6,74507.0320606624
"AT",2022,"Solar.PV",3791.7,3791.7,73412.6996296985
"AT",2023,"Solar.PV",6831.7,,73412.6996296985
"BE",2002,"Solar.PV",1,,87586.0466133234
"BE",2003,"Solar.PV",1,,89205.0379140305
"BE",2004,"Solar.PV",1,0.66,89783.0468924451
"BE",2005,"Solar.PV",2,1.34,90665.0379605508
"BE",2006,"Solar.PV",2,1.62,93476.0617789356
"BE",2007,"Solar.PV",20,6.06,93589.041449572
"BE",2008,"Solar.PV",62,41.39,93651.0634071455
"BE",2009,"Solar.PV",386,166.01,87919.9888351321
"BE",2010,"Solar.PV",1006.6,560,93776.5036751023
"BE",2011,"Solar.PV",1978.6,1169,91897.9161890584
"BE",2012,"Solar.PV",2646.6,2148,91678.460197246
"BE",2013,"Solar.PV",2901.6,2644,91813.7586155564
