Country,Fit,L,L.Size,TMax,K,dT,G,G.Size,Maturity,Size
AT,S,4463.568742599601,0.0620575072981572,2014.6495156327935,0.2131226154546624,20.61934696746095,237.82186117112644,0.0033064645659950155,0.8556569858502635,71926.3298983997
BE,S,4099.579685690596,0.04487673455656038,2017.7251668411338,0.225379575315598,19.49799199203793,230.9903821333498,0.0025285748439771,0.7665334736143878,91352.0051358392
BG,S,699.9049237593272,0.01877932670951421,2009.303676618818,1.047399323727498,4.195581432145112,183.26998595476636,0.004917363523900732,0.9999994114008445,37269.9689709713
CY,S,154.62581081863456,0.029054079447319536,2010.0053777932117,2.5658003151859665,1.7127011516303186,99.18473853358455,0.018636741550842644,0.9999999999999967,5322.0
DE,S,69800.64768222974,0.116009995738352,2012.47406559961,0.1720695547681988,25.538795405104423,3002.6415923032946,0.004990447078839717,0.8595059786780482,601677.874720878
DK,S,4837.227546274153,0.1287935918098369,2004.4680253474967,0.14852631914165862,29.587006397709114,179.61390057468427,0.004782309530137086,0.9400535952819488,37557.9831131373
EE,S,333.41310296161714,0.03573184966333602,2010.6221971355094,0.49621354532666107,8.85596371977218,41.36102446973678,0.004432656950630807,0.9978540687674939,9330.97799590621
ES,S,26838.325512511823,0.09064087484947649,2006.7390234902452,0.31345124124898044,14.019562140389938,2103.1266112352523,0.007102873682365473,0.9939222430429094,296095.172923707
FI,S,712989853.8423662,8416.82458411862,2066.6478044757973,0.265087019983064,16.577383362464122,47251088.908308305,557.7977366810492,9.440743143468743e-06,84710.0764328247
FR,S,23798.624702497826,0.04596688644379815,2015.7312208716921,0.24475051114552088,17.9548109383095,1456.1813901241906,0.002812604738221928,0.8555779644819537,517734.102604392
GB,S,16387.94166273155,0.04611170052622943,2013.6328569639152,0.2966874604853057,14.811711784125393,1215.5241986242904,0.0034201908319464853,0.9415366867139501,355396.601637142
GR,S,12090.405193513432,0.2280241786348341,2024.758884036186,0.1514533605111544,29.01519741682319,457.78312412478084,0.00863375703301035,0.4337938291773788,53022.4700989952
HR,S,1488.8530403065001,0.07924980077974947,2019.1251543403637,0.2739253047928992,16.042508953288763,101.95863071444818,0.005427131458342354,0.7429614868321343,18786.8363788612
HU,S,328.8531430553808,0.0074860274165354556,2008.3608726479995,1.096117614943807,4.009103671687388,90.11543070815965,0.0020513916293041982,0.9999998925462663,43928.9258183848
IE,S,5726.221650366255,0.19404866652950953,2015.737690360067,0.22614561960839988,19.431944612864893,323.73998578427774,0.010970813981624927,0.8378530240561435,29509.2038135467
IT,S,11506.300284580037,0.03355262727762405,2010.2122676957274,0.32799341612887495,13.39797977208718,943.4976843360131,0.0027512602102216966,0.9851426535463786,342932.915189431
LT,S,76730035.14202712,5997.039576726033,2093.9469916893127,0.15679816765878793,28.02615119989986,3007782.228666065,235.0812042519688,1.4748442907573139e-05,12794.6521213249
LU,S,5052.117644287741,0.7583466615694476,2050.5040317347575,0.11534298294247701,38.09897266887927,145.681579817117,0.021867491512472293,0.0402177859802306,6662.01606773353
LV,S,134.6668833511306,0.018057190716467924,2015.5696620665349,0.16106662384349701,27.28342501884423,5.4225850612231605,0.0007271026861999063,0.7679513692691708,7457.79814067734
NL,S,250237047.60159537,2132.3634155561213,2128.4233050213593,0.1003094663745591,43.80891767745439,6275286.1780152945,53.47405908276669,2.5547246461540522e-05,117351.970014142
PL,S,8538.475937493762,0.052061656055430436,2014.8799744912076,0.3280601477372932,13.395254452520286,700.2834193763816,0.004269838644248163,0.9348599258542211,164006.99832527
PT,S,5271.482341153439,0.09601178385054752,2007.918069776382,0.45822235724565674,9.590211139166524,603.8777661355455,0.01099868647983959,0.9990041102555524,54904.5349408262
RO,S,3073.343892716163,0.05206674577898675,2011.5888575126794,1.4205455499113941,3.093494013582698,1091.4562475363266,0.01849079600367687,0.9999999087851178,59027.0017212505
SE,S,58145.34730135655,0.4156837769337359,2028.5085229109652,0.1788487256342685,24.57076022816478,2599.8053166023933,0.018586128442859555,0.2718627330823118,139878.798567175
