Country,Fuel,Fit,L,L.Size,TMax,K,dT,G,G.Size,Maturity,Size
AT,Wind.On,S,4256.68463770672,0.060048658342893496,2014.1477544428699,0.22122542812089804,19.864123179686676,235.42172033807975,0.0033210725374980374,0.8503204222789236,70887.2563546706
BE,Wind.On,S,3771.217627260685,0.041209576767348675,2016.949077979008,0.23654375124355093,18.577743574159406,223.01449107701146,0.0024369669689269353,0.7675920263832823,91513.1365835504
BG,Wind.On,S,701.3261220579747,0.018817459241895828,2009.3146259128102,0.9999999999999993,4.394449154672442,175.33153051449355,0.004704364810473954,0.99999690393059,37269.9689709713
CH,Wind.On,S,87.70004004341214,0.00133959628692969,2011.4502610335435,0.3320532117908523,13.234171508150736,7.28026999265034,0.00011120431239452594,0.9707751274747608,65467.5150260514
CY,Wind.On,S,158.9858363464152,0.02987332513085592,2010.178965157398,0.9999999999999886,4.39444915467249,39.746459086603345,0.007468331282713894,0.9999926517046068,5322.0
CZ,Wind.On,S,323.5964854591085,0.004759617560434451,2008.9391095355325,0.4447506942108137,9.88070218185978,35.9799403880295,0.0005292108035453004,0.9970080697046493,67987.9173799777
DE,Wind.On,S,68466.81570047564,0.11379314177413921,2012.2139213496612,0.17493184554816402,25.120921470313505,2994.256607322554,0.004976511075318513,0.8470821459521216,601677.874720878
DK,Wind.On,S,4692.218442606182,0.12493265222660224,2003.9105872550863,0.1547155762505511,28.403404887662603,181.48982006031972,0.004832256820437115,0.942606287013884,37557.9831131373
EE,Wind.On,S,318.90577226777094,0.032843090407994914,2010.376693100253,0.5501564718483813,7.987635117529824,43.862018630730056,0.004517209685864974,0.9983322946056522,9709.98064756234
ES,Wind.On,S,25948.627776367215,0.0887715435483158,2006.4154378269484,0.33865485718684113,12.976188179246913,2196.9072084500344,0.007515728600652584,0.9949222062180652,292307.948461481
FI,Wind.On,S,9348.479664845334,0.11035853181243085,2021.9999999999875,0.33343119736322535,13.179478073508877,779.2686920437858,0.009199244350366603,0.5000000000010425,84710.0764328247
FR,Wind.On,S,23890.347903194077,0.046144049200191536,2015.767380430493,0.24410310235327068,18.002430580799043,1457.9270098671573,0.0028159763912271782,0.8207448060074931,517734.102604392
GR,Wind.On,S,9455.05784721505,0.17832171586050322,2021.9999999999998,0.16339820320749657,26.894109411301198,386.23486586446995,0.007284361991120992,0.5000000000000093,53022.4700989952
HR,Wind.On,S,1287.2597171054936,0.06798189107459182,2018.0319341781458,0.2988059797920909,14.706697495579224,96.16022525414918,0.005078348892665651,0.7659678674386593,18935.3325828061
HU,Wind.On,S,330.16238540526683,0.00751583106698889,2008.3622663669082,0.9999999998481331,4.39444915533981,82.54059633878153,0.001878957766461871,0.9999988054426093,43928.9258183848
IE,Wind.On,S,5750.067261924558,0.1948567402311577,2015.7780390508487,0.22563549007889833,19.47587745675924,324.35481115774417,0.010991649019308464,0.8028012717596271,29509.2038135467
IT,Wind.On,S,11172.857115872424,0.03258029958920888,2009.955250737425,0.34716351025808195,12.658153938487366,969.7020739895651,0.0028276727926624255,0.9849542173983652,342932.915189431
LT,Wind.On,S,1003.8670427240136,0.08171184762868068,2017.1276867731806,0.2519568808328334,17.441274634559544,63.23280221390579,0.005146965563902535,0.7734004928954763,12285.4527446967
LU,Wind.On,S,321.90525071718645,0.048319494796220316,2021.6038524349663,0.15163750847579602,28.979961480795957,12.20322754600765,0.00183176195042701,0.515013193111093,6662.01606773353
LV,Wind.On,S,88.7665566933598,0.011835532303207937,2010.370739392599,0.23421570826235286,18.762401494224587,5.197630486486391,0.0006930168952644508,0.938413934432043,7500.00544287309
MT,Wind.On,S,0.10354141963250929,4.5135753981041536e-05,2011.5697626658616,0.9999999999999999,4.39444915467244,0.02588535490812732,1.1283938495260384e-05,0.9999704748129254,2294.0
NL,Wind.On,S,10495.191949470649,0.08943345346657479,2021.9999999960928,0.12907637509241945,34.04534060958861,338.6703331842036,0.0028859364963655125,0.5000000001260815,117351.970014142
NO,Wind.On,S,10870.69952907025,0.08164108804252503,2021.999999996987,0.3403762057729396,12.910565075174254,925.0318649506532,0.006947170945772294,0.5000000002563824,133152.310799777
PL,Wind.On,S,7224.233735766902,0.04496205474172514,2013.5818496335128,0.42367367052240834,10.372249824384625,765.1794058860434,0.004762309691664036,0.9725231130411002,160674.012281355
PT,Wind.On,S,5221.396421513938,0.09509954737147559,2007.8522350006817,0.4687457279824732,9.374910302834271,611.8768166719078,0.011144376640861505,0.9986838197023291,54904.5349408262
RO,Wind.On,S,3114.2092763964974,0.0527590625575573,2011.5914560780702,0.9999999999999846,4.394449154672507,778.5523190991123,0.01318976563938912,0.9999698273325601,59027.0017212505
SE,Wind.On,S,26372.94407831116,0.18854139689830046,2021.9999999999998,0.20968837563028422,20.957047053579117,1382.5249510923477,0.009883734813667333,0.5000000000000119,139878.798567175
SI,Wind.On,S,3.30006971925434,0.0002274342594951376,2012.3511190931067,0.9999999991176334,4.394449158549954,0.8250174290856171,5.685856482361431e-05,0.999935506453537,14509.9939058429
SK,Wind.On,S,3.848436581094679,0.00013394724928883543,2002.7019689327415,0.9999999999999999,4.39444915467244,0.9621091452736696,3.348681232220886e-05,0.9999999958411658,28730.9862765166
